,ecg_id,segment_id,label,RMS_I,PtP_I,Kurtosis_I,Skewness_I,Var_I,Wav_Baixa_OndaTP_I,Wav_Media_QRS_I,Wav_Alta_Freq_I,RMS_II,PtP_II,Kurtosis_II,Skewness_II,Var_II,Wav_Baixa_OndaTP_II,Wav_Media_QRS_II,Wav_Alta_Freq_II,RMS_III,PtP_III,Kurtosis_III,Skewness_III,Var_III,Wav_Baixa_OndaTP_III,Wav_Media_QRS_III,Wav_Alta_Freq_III,RMS_V3,PtP_V3,Kurtosis_V3,Skewness_V3,Var_V3,Wav_Baixa_OndaTP_V3,Wav_Media_QRS_V3,Wav_Alta_Freq_V3,RMS_V6,PtP_V6,Kurtosis_V6,Skewness_V6,Var_V6,Wav_Baixa_OndaTP_V6,Wav_Media_QRS_V6,Wav_Alta_Freq_V6
35,8,seg_0a2s,MI,0.1547708191473736,1.2445486748331465,21.90888563846021,4.179322050957581,0.0239384359788239,23.35447383723399,0.6517629546945539,7.696619119854014e-05,0.0784478353753506,0.5538963960320926,7.497576528853351,2.2994577386583632,0.006151182223777,6.052702190839355,0.1202696783626795,9.274711319772964e-06,0.0846236396662131,0.7386413597902228,34.628617537531944,-5.51257849000584,0.0071560947037214,6.873954630187658,0.2920080277925051,5.531859637065866e-05,0.3158952639554448,2.7816093191608,12.35184729710192,-1.9846978818655685,0.0997876924173289,98.0207055836926,1.849427332607524,0.000159833151892,0.1403443673811434,1.2700810833525416,15.234320153244326,3.213356747474377,0.019679677748011,19.209462062237776,0.5275951497315219,4.432037789116513e-05
36,8,seg_2a4s,MI,0.1805594121739488,1.2384727359386858,13.0478659284087,3.262528850075768,0.0324081538990249,32.051302105777964,0.8045782356066827,0.00011330451647,0.0929289316003799,0.5632463994200955,4.416701963285239,1.8467767554424317,0.0085747759768594,8.587666956638651,0.1351284043790049,1.042315006455368e-05,0.1010690777723481,0.8160980747100537,17.924496989024284,-3.7680281116978582,0.0101777948638578,9.86168672418888,0.4161237926051536,8.260824224577432e-05,0.3775080039407879,2.7703994640173093,7.252057281115784,-1.6498316452945043,0.1423409632308714,140.35678185365924,2.578691395356071,0.0002389246483839,0.1736033693578065,1.3102143745483494,9.399779728747838,2.564391892760061,0.0300387568657918,29.49648692229779,0.7895112441639265,7.466123985796762e-05
37,8,seg_4a6s,MI,0.1568474376949344,1.2225602856996158,20.35196863073778,4.049670968386461,0.0244509902340637,23.88482944980081,0.7408726438418192,7.657576067148498e-05,0.0829910450290383,0.5718642273389558,6.246662846305792,2.24265950423932,0.0068750855345812,6.793634021701761,0.103444362867157,9.50118429580578e-06,0.0851634906413112,0.7493304350433981,32.95780464073582,-5.3156331368507725,0.007176706494993,6.931029999816751,0.3979446593349743,5.3395911581855214e-05,0.3163264439805126,2.760390248721766,11.893238484098198,-1.9049088030185235,0.0999073389563317,98.197778568915,1.893808355237593,0.000157327896379,0.140981753251619,1.255233817126537,15.502523934725753,3.2857734378670176,0.019777897791857,19.33628528875834,0.5673054221382248,4.7651193414675736e-05
38,8,seg_6a8s,MI,0.1799974540816953,1.2049755397089017,13.805035915424597,3.398360805255533,0.0323675352522482,31.85191271538323,1.14580057548266,0.0001228521054393,0.0893033081959072,0.5605238436082893,5.502694320264013,2.1101677227452345,0.0079739715357686,8.04380439420714,0.1648300874236193,1.1796976414758654e-05,0.0998394914789688,0.7829026732340338,20.83929223598457,-4.25765697283017,0.0099234790723559,9.54200884980891,0.5235578501983991,8.428746252995809e-05,0.3697494390697284,2.8156438291237484,8.191829994873746,-1.7967847291597694,0.136653042965824,137.409650098751,2.79011451809681,0.0002351248749096,0.1683369513515124,1.281262842741666,10.624036530583034,2.776292243532833,0.028333141239386,28.065407296975756,0.8275633866929442,6.905645671259173e-05
39,8,seg_8a10s,MI,0.1576603833863027,1.2297876548571245,19.169321636427696,3.860289921518498,0.0248331443618337,26.880852544068222,0.3881430397335479,9.07498560098459e-05,0.0803025868085684,0.5561587825771849,5.639828112816376,2.0676340473223487,0.0064480120246448,7.182873399424343,0.1240068767023144,9.23645850492355e-06,0.0876201214012019,0.7850915402180544,31.709179046254988,-5.169931416096282,0.0076599928238224,7.951581803774322,0.1122958794950494,6.935538052160435e-05,0.3222460283068122,2.698711788173279,9.548392276080223,-1.5274709290443969,0.1038409726603499,116.88975253854338,1.2741615759969505,0.0001513811031125,0.1470848455525602,1.2368013923946315,12.24111285216463,2.8855232028771614,0.0216246470973606,23.563817710666605,0.3518371427031447,4.625565369959008e-05
160,39,seg_0a2s,MI,0.1984448490270866,1.4559527471578582,14.951626605162469,3.490299387048492,0.0392015576103802,39.26242960800194,0.6720201724334129,0.0001092078967958,0.1119440410954124,0.9096234824772932,5.747581713205925,0.8807415113807097,0.0124190464159859,12.746675976208849,0.3260362494024258,5.151021532045428e-05,0.1332450828567254,0.9282258796142931,14.775932897441455,-3.585950514936864,0.017746600897409,17.49479145525828,0.3926499363242206,3.67984743899602e-05,0.276123524211064,1.909828229242113,14.31493403222127,-3.536918871986481,0.0762414016801967,79.40929063426964,0.6138027212150132,0.000178145466397,0.1724589198481126,1.2057903202145834,15.89457174158272,3.6205756731950753,0.0295792765468474,29.47191973705994,0.6189557082710826,5.998715290604243e-05
161,39,seg_2a4s,MI,0.1955149235117118,1.4624992096357885,14.691410718585942,3.440009379028117,0.0381961072581082,39.50096664368613,1.04683403866334,0.0003761920762094,0.1062039658245525,0.9210499123763944,6.43894957790808,1.3382399231498696,0.0112590351061883,11.92493407985246,0.2283131601096173,0.000124559899202,0.1191906613489275,0.8797129075025767,15.85200848795492,-3.6693478242237703,0.0142054613191614,15.380669447732952,0.3575480997959354,8.44343436882787e-05,0.2426972550657086,1.8886496004644344,14.9278550687255,-3.3721755417284047,0.0587611792559494,76.56534962885607,0.7580253632736746,0.0001724407382072,0.1846403773256576,1.3517939631966325,17.05593974880481,3.829693648809263,0.03408195233709,36.49849273260924,0.3275685226276583,0.0002437852238725
162,39,seg_4a6s,MI,0.1719499961883335,1.4322806265994088,18.318119145705843,3.629115108602048,0.0294905891200061,28.867648354333205,1.027697288732312,0.0003458744872286,0.103386441489954,0.8831514290703721,5.180685381354008,0.7525410930507032,0.0106721931677827,11.596790614417776,0.4348686593920629,0.0001134643966587,0.1126854142173842,0.941898732638952,19.945448939721206,-3.872493344547999,0.0126762935893606,13.356822310746583,0.2191930205730559,8.818310931900082e-05,0.2507617235038692,1.848198003573419,14.689235853363757,-3.4653194317486458,0.062870201731867,122.89925447497951,0.6955218713524959,8.452343263621977e-05,0.1583138448621993,1.3123347115240598,23.05037327415629,4.222268094644728,0.0249139771074635,24.56561455919972,0.7956597968287258,0.0002683753029505
163,39,seg_6a8s,MI,0.2022798556774767,1.4772968564988789,12.684033235833486,3.07967617446618,0.0409167576705413,42.74824056558951,1.4150156940675316,0.000126326939808,0.1196467099228695,0.9279461062119582,2.8599428362924346,0.1020063110038601,0.014313584478974,15.628224315785287,0.4939982386928349,5.745811703449309e-05,0.1384869102691625,0.9542621144620204,16.06861553902113,-3.765622404389684,0.0191748553300639,18.96723439448019,0.4372429651407987,4.303774106297405e-05,0.2748399729398071,1.8986644950842853,13.87693598262058,-3.470633439156181,0.0755348989500768,79.89414040029578,0.6447970846095612,5.995405112097486e-05,0.1634561364346261,1.2162946680435107,16.434688601109883,3.7039185951607383,0.0266942389897891,34.91444823788264,1.1730847336321808,0.0001310908279603
164,39,seg_8a10s,MI,0.1955654355930923,1.4840336864262471,14.37505706727434,3.3818949736447563,0.0382440237857567,37.92464171263759,0.5842852607872733,7.99885726428986e-05,0.1148606109051327,0.8993833150634591,5.909130633032159,1.4038705899081398,0.0131835385729997,13.265314644626397,0.318725148040502,2.7800371792915385e-05,0.1126283178237367,0.9006279854525302,16.15839810379991,-3.509163231602036,0.0126655977783485,12.598292347567345,0.0972776458652454,2.733147377094057e-05,0.2607967388658478,1.744302538752924,10.761934805594464,-2.903230783143504,0.0680063961755792,67.64596590222739,0.4815805534325731,3.050637830563072e-05,0.1971112396410922,1.4926536948505669,16.858721809751,3.761571747898032,0.0388516386340793,38.26417980834504,0.7336665812768488,4.4169450659631794e-05
270,63,seg_0a2s,MI,0.1003130273503972,0.8079445312803849,8.608687530297923,2.272679161806705,0.0100613002192533,10.06406988468401,0.1275606218568346,1.248825498724923e-05,0.1131304834101051,0.6768942890586034,7.025951849723011,2.489388816689585,0.012779375737257,12.842473270382856,0.1053756408844713,1.433456009745005e-05,0.0479190570946972,0.3062064940539906,3.6827103857265575,1.2906990647013048,0.0022860558585686,2.262625723668904,0.0347292255462624,1.30261768675537e-05,0.2741985571488446,1.9785402293396688,7.969951584258286,-1.7423444680392297,0.0751657963694551,77.04047748704315,0.1143314758414507,9.344088873348118e-06,0.2637318709457277,2.007677184140045,21.668781758350825,4.3087878489683415,0.0694275095523676,68.79827632663833,0.9401844467506872,7.033442503056136e-05
271,63,seg_2a4s,MI,0.10401801221403,0.8758451050712479,9.435989098054396,2.3142905999150427,0.0108162840320421,11.57305548719498,0.1767981155252176,1.685241892596158e-05,0.1137459164193428,0.7107456301338853,7.778816038294419,2.609214522301251,0.0129313661815029,14.114544182165364,0.1026816850216957,1.5329659221054628e-05,0.0453765683992869,0.3230153394097236,8.039777890164185,2.3017613483299777,0.0020584927940031,2.0763599152801864,0.045130440462456,1.034342663027624e-05,0.2753881965053886,1.9766854246119672,8.672650214116722,-1.7911840129436694,0.0758306403995909,87.51154082921681,0.1445100801244126,9.5401530203296e-06,0.2572108916630182,1.9733087982291668,23.516757937939907,4.550284448941945,0.0661526764284615,66.92336677564874,0.8453854521105768,6.553831846432297e-05
272,63,seg_4a6s,MI,0.0972176674596271,0.844714480918409,9.532117604817126,2.331614806630054,0.0094457098259367,10.255850981597868,0.1235354002457219,1.6805068085450495e-05,0.1101763180913657,0.6862291573932631,8.30599224229424,2.671077144291102,0.0121308948324821,13.961463417171633,0.0942504301108594,1.70430845320338e-05,0.0516894796985617,0.3810468118066198,7.974528614568261,2.1428136473326047,0.0026715999421619,2.801092603627864,0.0486175802967996,1.4443287417803611e-05,0.2543919303725729,1.8062453495737976,7.701855739961871,-1.5404690688879683,0.0646370679529465,76.55327578037382,0.1028597379658753,1.2238593232423245e-05,0.2580167798827335,2.0150129246898967,24.60086362568185,4.674433414688875,0.0665661155807452,68.26118683393705,0.7915717853680835,7.388277287530528e-05
